season,date,stata,beech.seed,control,value
Summer,1999-05-01,2,0,stoats,10
Spring,1999-08-01,3,0,stoats,12
Autumn,1999-11-01,4,0,stoats,5
Winter,2000-02-01,5,0,stoats,7
Summer,2000-05-01,6,1551.1006199597932,stoats,75
Spring,2000-08-01,7,1798.2356979003698,stoats,100
Autumn,2000-11-01,8,2000.7835222920417,stoats,100
Winter,2001-02-01,9,0,stoats,10
Summer,2001-05-01,10,0,stoats,3
Summer,1999-05-01,2,0,no.stoats,15
Spring,1999-08-01,3,0,no.stoats,25
Autumn,1999-11-01,4,0,no.stoats,15
Winter,2000-02-01,5,0,no.stoats,10
Summer,2000-05-01,6,1551.1006199597932,no.stoats,160
Spring,2000-08-01,7,1798.2356979003698,no.stoats,200
Autumn,2000-11-01,8,2000.7835222920417,no.stoats,200
Winter,2001-02-01,9,0,no.stoats,25
Summer,2001-05-01,10,0,no.stoats,15
